HDR|08|2019
intor00000156648134|ioreg00000156648134|MTYFU|100.0
intor00000151757741|ioreg00000151757741|YKAEX|300.0
intor00000149965321|ioreg00000149965321|HUMGL|100.0
intor00000156394146|ioreg00000156394146|MEXRE|100.0
intor00000154274296|ioreg00000154274296|ZYLMB|100.0
intor00000152344161|ioreg00000152344161|AVLNC|100.0
intor00000155677851|ioreg00000155677851|RSTEV|50.0
intor00000155039840|ioreg00000155039840|MCOJY|100.0
intor00000148204434|ioreg00000148204434|IDAFI|100.0
intor00000154682352|ioreg00000154682352|PGFEX|100.0
intor00000154239922|ioreg00000154239922|CNTRX|50.0
intor00000152054716|ioreg00000152054716|PITBR|100.0
intor00000154239637|ioreg00000154239637|CLTMO|100.0
intor00000148388054|ioreg00000148388054|YLGCA|50.0
intor00000155869292|ioreg00000155869292|FMYCF|100.0
intor00000149675330|ioreg00000149675330|PANHB|100.0
intor00000155677862|ioreg00000155677862|JNSVL|100.0
intor00000153491003|ioreg00000153491003|TPASB|100.0
intor00000155037869|ioreg00000155037869|TIJOT|100.0
intor00000152389843|ioreg00000152389843|GRRGV|100.0
intor00000154816644|ioreg00000154816644|TOTNJ|100.0
intor00000155655257|ioreg00000155655257|MTYSN|100.0
intor00000154480890|ioreg00000154480890|POPCN|30.0
intor00000152617286|ioreg00000152617286|SNALF|100.0
intor00000156381637|ioreg00000156381637|HYRWD|30.0
intor00000154112931|ioreg00000154112931|ODSJS|50.0
intor00000152634944|ioreg00000152634944|SQVSE|100.0
intor00000152263541|ioreg00000152263541|YULCA|100.0
intor00000153839138|ioreg00000153839138|PTWLP|100.0
intor00000147838934|ioreg00000147838934|NGHOB|100.0
intor00000154723973|ioreg00000154723973|SFOFS|100.0
intor00000157801166|ioreg00000157801166|NYCAT|50.0
intor00000154174536|ioreg00000154174536|LOVES|100.0
intor00000157152692|ioreg00000157152692|SGHIL|60.0
intor00000157152694|ioreg00000157152694|SGHIL|60.0
intor00000155591298|ioreg00000155591298|PCUMS|100.0
intor00000154896484|ioreg00000154896484|MIADO|100.0
intor00000156383179|ioreg00000156383179|JPDCA|30.0
intor00000148392914|ioreg00000148392914|LOVES|100.0
intor00000155677904|ioreg00000155677904|PIESB|50.0
intor00000156400903|ioreg00000156400903|LAXHB|100.0
intor00000155138085|ioreg00000155138085|TLUDR|100.0
intor00000152344133|ioreg00000152344133|ECGKH|100.0
intor00000158317939|ioreg00000158317939|CLTKM|100.0
intor00000157445130|ioreg00000157445130|REXMX|100.0
intor00000154240072|ioreg00000154240072|PXEMP|50.0
intor00000153214389|ioreg00000153214389|VEAAV|50.0
intor00000152390388|ioreg00000152390388|GRRYM|100.0
intor00000157439509|ioreg00000157439509|CHSCC|100.0
intor00000153824875|ioreg00000153824875|YQGRS|100.0
intor00000156764502|ioreg00000156764502|ORGES|100.0
intor00000154240955|ioreg00000154240955|DEMEX|100.0
intor00000149018025|ioreg00000149018025|DFWPN|100.0
intor00000150442968|ioreg00000150442968|BOSFS|100.0
intor00000150451668|ioreg00000150451668|LAXSA|100.0
intor00000156505808|ioreg00000156505808|OKCBQ|30.0
intor00000151576825|ioreg00000151576825|ATLCN|100.0
intor00000152344146|ioreg00000152344146|MEXMK|100.0
intor00000153828025|ioreg00000153828025|MQYCW|100.0
intor00000153897672|ioreg00000153897672|LITCB|50.0
intor00000156764232|ioreg00000156764232|INDFI|60.0
intor00000151579871|ioreg00000151579871|ATLBL|100.0
intor00000157552526|ioreg00000157552526|DBQPV|50.0
intor00000156403146|ioreg00000156403146|TCCFS|100.0
intor00000157950207|ioreg00000157950207|SLWVC|50.0
intor00000150462303|ioreg00000150462303|NGHOB|100.0
intor00000146676756|ioreg00000146676756|CHIBS|100.0
intor00000154391275|ioreg00000154391275|MTYCP|100.0
intor00000152249310|ioreg00000152249310|YULSH|100.0
intor00000153622885|ioreg00000153622885|MTYRR|100.0
intor00000154371757|ioreg00000154371757|BNATN|100.0
intor00000153760053|ioreg00000153760053|SANRX|50.0
intor00000158517022|ioreg00000158517022|XVVON|60.0
intor00000154905687|ioreg00000154905687|PCUMS|100.0
intor00000153544393|ioreg00000153544393|MKCWS|100.0
intor00000153502797|ioreg00000153502797|CLEHR|100.0
intor00000156494047|ioreg00000156494047|YOWGQ|30.0
intor00000154240117|ioreg00000154240117|MBTCP|100.0
intor00000154102868|ioreg00000154102868|ECPFB|30.0
intor00000151583933|ioreg00000151583933|CAEAT|50.0
intor00000152866439|ioreg00000152866439|PSLSB|100.0
